Metric,Description
Owner/Permit Holder/Captain Wages Compared to Non-fishery Wages,"Ratio of captain's average daily wage in this fishery to the average daily wage in the owner/captain's alternate occupations within their economic sphere. The comparison is to  jobs in the village that the owner/captain qualifies for if all economic activity is within the village, but to jobs within the nation if the owner/captain participates in national markets as a consumer and labor markets are fluid. Meant to capture the average personal opportunity cost of participating in the fishery."
Education Access,"Measure is based on the highest level of education that is accessible to (available and affordable) the families (i.e., children) of permit holders and captains. Not based on the actual educational attainment levels of current captains and owners."
Access to Health Care,Measure is based on the quality of health care that is accessible to (available and affordable) the owners/permit holders and their families.
Social Standing of Boat Owners and Permit Holders,Measure is based on the social standing of owners/permit holders/captains within the community where they spend the majority of their time.
Proportion of Nonresident Employment,"Proportion of owners/permit holders/captains who are local. ""Local"" is defined as coming from, and spending their earnings within, the local fishing community.  Nationals who are transient nonresidents, or  considered outsiders in the fishing community, are not local."
Earnings Compared to Regional Average Earnings ,"Ratio of annual earnings per crew member to the regional average earnings.  In many cases, the captain is an owner of a vessel or permit, but in other cases, captains are considered as crew. Crew is defined as those depending on others for access. Note that this is earnings from all sources, not just fishing."
Crew Wages Compared to Non-fishery Wages,"Ratio of crew's average daily wage in this fishery to the average daily wage in the crew's alternate occupations within their economic sphere. The comparison is to jobs in the village that the crew qualifies for if all economic activity is within the village, but to jobs within the nation if the crew participates in national markets as a consumer and labor markets are fluid. Meant to capture the average personal opportunity cost of participating in the fishery."
Education Access,"Measure is based on the highest level of education that is accessible to (available and affordable) the families (i.e., children) of crew. Not based on the actual educational attainment levels of current crew members."
Access to Health Care,Measure is based on the quality of health care that is accessible to (available and affordable) the crew and their families.
Social Standing of Crew,Measure is based on the social standing of crew members within the community where they spend the majority of their time.
Proportion of Nonresident Employment ,"Proportion of crew members who are local. ""Local"" is defined as coming from, and spending their earnings within, the local fishing community.  Nationals who are transient nonresidents, or  considered outsiders in the fishing community, are not local."
Crew Experience,Average years of experience of crew members.
Age Structure of Harvesters,Age range of both captains and their crews.
Ex-vessel Price Compared to Historic High,The indicator is the ratio of current ex-vessel prices to the average of the three highest annual ex-vessel prices in the past 10 years. Adjust by local CPI if inflation was significant. See 'Historical Data' tab.
Final Market Use,"The measure indicates the final market use of the top three species. Where a supply chain is diverse, score each and weight by value.  Premium products are typically distinct to species, or species and source.  "
International Trade,Percentage of the fishery’s value that is from fish exported to higher value international markets for consumption
Final Market Wealth,"Average per capita GDP of the consumer of a fishery’s primary final product.  If multiple important products, weight by value."
Wholesale Price Compared to Similar Products,"Ratio of average price for wholesale fish  product from the fishery, to the global average price for similar species. Convert the price of fish to global currency for comparison (i.e. make sure that both prices are in USD when composing the ratio)."
Capacity of Firms to Export to the US & EU,"Percentage of a country’s fish exports that meet US or EU health and labeling standards. This is usually a country level measure, though individual high-value fisheries sometimes develop their own supply chains; measure refers to all processing capacity for export, including to regional markets."
Ex-vessel to Wholesale Marketing Margins,Increase in value of processed wholesale product from unprocessed ex-vessel product. [(Wholesale $/lb.) - Ex Vessel $/lb.]/(Ex Vessel $/lb.)
Processing Yield,Ratio of actual processing yield (kilos/pounds) to the maximum processing yield technically achievable. 
Shrink,"Percentage of fishery product weight that is lost due to handling, spoilage, or theft.  This is very likely to be an estimate."
Capacity Utilization Rate,"Days open for processing each year.  Such days would not normally include religious or civic holidays, or weekly rest days. This should be full time employment days; when the plant is open but only operating at 10% capacity then this only counts as 1/10 of  a day."
Product Improvement,"Proportion of harvest meat weight going into certified, branded, fresh premium, portioned, live or value added products.  "
Sanitation,"This measures the sanitation conditions in the landing and processing areas. This measure is scored relative to global standards, not local standards. Pit latrines or toilets that are not improved, do not have proper drainage/sewage treatment, and do not allow for proper washing do not count as functional toilets."
Regional Support Businesses,"Support businesses are those that provide critical inputs (e.g. food, ice, gear, boat maintenance) or post-harvest functions (e.g. brokering, logistics)."
Borrowing Rate Compared to Risk-free Rate,"Average ratio between the interest rate on loans made in the processing industry to risk-free rates over the last three years.  If businesses can access international credit markets, then the international risk free rate (US 10 year Treasury Bill) is an appropriate comparison; otherwise, use local risk free rate."
Source of Capital ,"Points to be assigned based on the category of lenders or investors that are most typically used in the processing sector.  Second scoring method offered if the supply chain (e.g., processors further up the supply chain, parent company, exporters) are primary source of capital."
Age of Facilities,"Average age of the key durable processing capital unit (plants, catcher-processor vessels)."
Earnings Compared to Regional Average Earnings,"Ratio of annual earnings per owner/manager to the regional average earnings. This measure can include wealth accumulated to traders/middlemen if they represent an important part of the supply chain. Note that this is earnings from all sources, not just fishing."
Manager Wages Compared to Non-fishery Wages,"Ratio of owner/manager's average daily wage in this fishery to the average daily wage in the owner/manager's alternate occupations within their economic sphere. The comparison is to  jobs in the village that the owner/manager qualifies for if all economic activity is within the village, but to jobs within the nation if the owner/manager participates in national markets as a consumer and labor markets are fluid. Meant to capture the average personal opportunity cost of participating in the fishery."
Education Access,"Measure is based on the highest level of education that is accessible to (available and affordable) the families (i.e., children) of processing owners and managers. Not based on the actual educational attainment levels of current processing owners/managers."
Access to Health Care,Measure is based on the quality of health care that is accessible to (available and affordable) the processing owners/managers and their families.
Social Standing of Processing Managers,Measure is based on the social standing of processing owners/managers within the community where they spend the majority of their time.
Nonresident Ownership of Processing Capacity,"Proportion of processing owners/managers who are local. ""Local"" is defined as coming from, and spending their earnings within, the local fishing community.  Nationals who are transient nonresidents, or  considered outsiders in the fishing community, are not local."
Earnings Compared to Regional Average Earnings,Ratio of annual earnings per processing worker to the regional average earnings. Note that this is earnings from all sources and not just fishing.
Worker Wages Compared to Non-fishery Wages,"Ratio of processing worker's average daily wage in this fishery to the average daily wage in the worker's alternate occupations within their economic sphere. The comparison is to  jobs in the village that the worker qualifies for if all economic activity is within the village, but to jobs within the nation if the worker participates in national markets as a consumer and labor markets are fluid. Meant to capture the average personal opportunity cost of participating in the fishery."
Education Access,"Measure is based on the highest level of education that is accessible to (available and affordable) the families (i.e., children) of processing workers. Not based on the actual educational attainment levels of current processing workers."
Access to Health Care,Measure is based on the quality of health care that is accessible to (available and affordable) the processing workers and their families.
Social Standing of Processing Workers,Measure is based on the social standing of workers within the community where they spend the majority of their time.
Proportion of Nonresident Employment,"Proportion of processing workers who are local. ""Local"" is defined as coming from, and spending their earnings within, the local fishing community.  Nationals who are transient nonresidents, or  considered outsiders in the fishing community, are not local."
Worker Experience,Average years of experience of processing workers.
